id,label,categoryName,parent_id,degree,depth
1334134_6868418_2306532,Arts, Crafts & Sewing>Singer>Singer Computerized Sewing Machines,Singer Computerized Sewing Machines,1334134_6868418,0.0,3
1334134_6868418_2797332,Arts, Crafts & Sewing>Singer>Singer Embroidery Machines,Singer Embroidery Machines,1334134_6868418,0.0,3
1334134_6868418_9584570,Arts, Crafts & Sewing>Singer>Singer Heavy Duty Sewing Machines,Singer Heavy Duty Sewing Machines,1334134_6868418,0.0,3
1334134_6868418_8414666,Arts Crafts & Sewing>Singer>Singer Presser Feet,Singer Presser Feet,1334134_6868418,0.0,3
1334134_6868418_8658943,Arts, Crafts & Sewing>Singer>Singer Sergers,Singer Sergers,1334134_6868418,0.0,3
1334134_6868418_1812624,Arts, Crafts & Sewing>Singer>Singer Sewing Machines,Singer Sewing Machines,1334134_6868418,0.0,3
1334134_3359903,Arts, Crafts & Sewing>Sizzix,Sizzix,1334134,2.0,2
1334134_3359903_3225905,Arts, Crafts & Sewing>Sizzix>Sizzix Die Cut Accessories,Sizzix Die Cut Accessories,1334134_3359903,0.0,3
1334134_3359903_8377380,Arts Crafts & Sewing>Sizzix>Sizzix Die Cut Machines,Sizzix Die Cut Machines,1334134_3359903,0.0,3
1334134_5007258,Arts Crafts & Sewing>Spinrite,Spinrite,1334134,0.0,2
1334134_2197999,Arts, Crafts & Sewing>Waverly Inspirations,Waverly Inspirations,1334134,0.0,2
1334134_7780827,Arts, Crafts & Sewing>Yarn,Yarn,1334134,4.0,2
1334134_7780827_5296847,Arts Crafts & Sewing>Yarn>Shop Yarn by Activity,Shop Yarn by Activity,1334134_7780827,0.0,3
1334134_7780827_6911242,Arts, Crafts & Sewing>Yarn>Shop Yarn by Fabric Type,Shop Yarn by Fabric Type,1334134_7780827,0.0,3
1334134_7780827_2031776,Arts, Crafts & Sewing>Yarn>Shop Yarn by Weight,Shop Yarn by Weight,1334134_7780827,0.0,3
1334134_7780827_1095481,Arts Crafts & Sewing>Yarn>Yarn,Yarn,1334134_7780827,0.0,3
91083,Auto & Tires,Auto & Tires,-1,32.0,1
91083_2962826,Auto & Tires>Advance Auto Parts Shop,Advance Auto Parts Shop,91083,15.0,2
91083_2962826_5780758,Auto & Tires>Advance Auto Parts Shop>Advance Auto Parts Shop,Advance Auto Parts Shop,91083_2962826,0.0,3
91083_2962826_2202768,Auto & Tires>Advance Auto Parts Shop>Auto Filters on Advance Auto Parts Shop,Auto Filters on Advance Auto Parts Shop,91083_2962826,0.0,3
91083_2962826_8467922,Auto & Tires>The Advance Auto Parts Shop>Brake Hardware on Advance Auto Parts Shop,Brake Hardware on Advance Auto Parts Shop,91083_2962826,0.0,3
91083_2962826_2007165,Auto & Tires>Advance Auto Parts Shop>Brake Hoses and Lines on Advance Auto Parts Shop,Brake Hoses and Lines on Advance Auto Parts Shop,91083_2962826,0.0,3
91083_2962826_4414440,Auto & Tires>Advance Auto Parts Shop>Brake Pads and Shoes,Brake Pads and Shoes,91083_2962826,0.0,3
91083_2962826_6884124,Auto & Tires>Advance Auto Parts Shop>Brake Parts on Advance Auto Parts Shop,Brake Parts on Advance Auto Parts Shop,91083_2962826,0.0,3
